Raw Median,Discount,Scenario,2024 to 2034,2024 to 2034,2024 to 2034,2024 to 2034,2024 to 2044,2024 to 2044,2024 to 2044,2024 to 2044,2034 to 2044,2034 to 2044,2034 to 2044,2034 to 2044,All,All,All,All
True,3%,Aus then UK 50%,0 to 40,All,All,0.7940021976072237,0 to 40,All,All,2.78546884850875,0 to 40,All,All,1.9867784306743164,0 to 40,All,All,5.0034261742654
True,3%,Aus then UK 70%,0 to 40,All,All,1.112421037112204,0 to 40,All,All,3.872853954138553,0 to 40,All,All,2.771470319654011,0 to 40,All,All,7.018900839251546
True,3%,Aus then UK 90%,0 to 40,All,All,1.428606575972103,0 to 40,All,All,5.009889496196381,0 to 40,All,All,3.566979514942127,0 to 40,All,All,8.99277318757765
True,3%,Aus then UK mandatory,0 to 40,All,All,1.5669213210753061,0 to 40,All,All,5.514355261033892,0 to 40,All,All,3.9270762875700354,0 to 40,All,All,9.92124007886718
True,3%,Australia 50%,0 to 40,All,All,0.5822257658878256,0 to 40,All,All,1.6635600823936398,0 to 40,All,All,1.076576097068981,0 to 40,All,All,2.834039165687405
True,3%,Australia 70%,0 to 40,All,All,0.8168828555847458,0 to 40,All,All,2.320404761666217,0 to 40,All,All,1.5050984720423717,0 to 40,All,All,3.9634453921181256
True,3%,Australia 90%,0 to 40,All,All,1.0555943366245288,0 to 40,All,All,3.003591509491653,0 to 40,All,All,1.9524991893228247,0 to 40,All,All,5.142923805396521
True,3%,Australia mandatory,0 to 40,All,All,1.1610469601314548,0 to 40,All,All,3.308602642911727,0 to 40,All,All,2.1492534473164517,0 to 40,All,All,5.641561749913521
True,3%,BAU,0 to 40,All,All,1795247.2708276494,0 to 40,All,All,3040330.597968113,0 to 40,All,All,1245083.3271404637,0 to 40,All,All,5261729.410737386
True,3%,KCl subsitute (10%) all foods,0 to 40,All,All,0.8416046381181101,0 to 40,All,All,5.896266069684038,0 to 40,All,All,5.050743734296329,0 to 40,All,All,12.970588171963717
True,3%,KCl subsitute (30%) envelope,0 to 40,All,All,16.05715634208218,0 to 40,All,All,35.15491533550448,0 to 40,All,All,19.094186077406256,0 to 40,All,All,55.6949488413672
True,3%,KCl subsitute (4.5%) discretionary,0 to 40,All,All,1.390444392620574,0 to 40,All,All,4.478842191740326,0 to 40,All,All,3.0889972895939737,0 to 40,All,All,7.864075506411496
True,3%,No change,0 to 40,All,All,0.0,0 to 40,All,All,0.0,0 to 40,All,All,0.0,0 to 40,All,All,0.0
True,3%,UK 50%,0 to 40,All,All,1.1029576963205054,0 to 40,All,All,3.13459849282236,0 to 40,All,All,2.0301104108271857,0 to 40,All,All,5.341567240457787
True,3%,UK 70%,0 to 40,All,All,1.5458199001956552,0 to 40,All,All,4.387010456214719,0 to 40,All,All,2.854467048494495,0 to 40,All,All,7.521834560123931
True,3%,UK 90%,0 to 40,All,All,1.9913300599524217,0 to 40,All,All,5.657576131305767,0 to 40,All,All,3.680253409468351,0 to 40,All,All,9.666541789530578
True,3%,UK mandatory,0 to 40,All,All,2.209154684134663,0 to 40,All,All,6.293548632812616,0 to 40,All,All,4.090004681571772,0 to 40,All,All,10.75681765074649
True,3%,UK mass media campaign,0 to 40,All,All,0.17767871671833146,0 to 40,All,All,0.3260279502367187,0 to 40,All,All,0.14818203375399255,0 to 40,All,All,0.3288519934186904
True,3%,UK salt reduction program,0 to 40,All,All,0.7892386601375595,0 to 40,All,All,2.2136119545003146,0 to 40,All,All,1.427851223775103,0 to 40,All,All,3.876580055285773
True,3%,Who mandatory,0 to 40,All,All,4.369432871414724,0 to 40,All,All,12.38294967949074,0 to 40,All,All,7.995536917044355,0 to 40,All,All,21.129401757378933
